C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\DIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
0.15343	51.2174e-6
0.154608	0.71288e-3
0.1566	1.82745e-3
0.158594	2.9258e-3
0.160539	4.01102e-3
0.162565	5.17125e-3
0.164566	6.30293e-3
0.166531	7.4515e-3
0.168607	8.63069e-3
0.173643	0.0116272
0.178728	0.0147866
0.180718	0.0160922
0.182744	0.017328
0.184726	0.0186204
0.186731	0.0199423
0.188725	0.0212485
0.190719	0.022584
0.192703	0.0239279
0.194729	0.0253132
0.196723	0.0266807
0.198677	0.0280743
0.200694	0.0295293
0.202719	0.0309558
0.204723	0.032449
0.206695	0.0339385
0.208677	0.0354176
0.210729	0.0368942
0.212716	0.0384339
0.214709	0.0400172
0.216673	0.0415569
0.218646	0.043174
0.220686	0.0447855
0.222653	0.0464099
0.224688	0.0480921
0.226666	0.0497753
0.228668	0.0514915
0.230704	0.0532145
0.232705	0.0549923
0.234734	0.0567501
0.236758	0.0585338
0.238735	0.0603715
0.240704	0.062234
0.242681	0.0640965
0.244693	0.06598
0.246709	0.0678964
0.248674	0.0698757
0.250733	0.0718449
0.252708	0.0738929
0.254733	0.0759643
0.256743	0.078062
0.258739	0.0801767
0.260683	0.0823261
0.262691	0.0845011
0.264711	0.0867212
0.266735	0.0889755
0.268703	0.0912345
0.270694	0.0935892
0.272714	0.0959419
0.274715	0.098358
0.279738	0.10466
0.284761	0.111099
0.286718	0.113762
0.288725	0.116538
0.290725	0.119309
0.29269	0.122141
0.294711	0.124948
0.296708	0.127977
0.298705	0.131049
0.300721	0.13412
0.302698	0.137292
0.304688	0.140502
0.30676	0.143813
0.308699	0.147155
0.310744	0.150598
0.312704	0.154126
0.314672	0.157768
0.316677	0.161474
0.318659	0.165207
0.320697	0.169075
0.322701	0.173088
0.32465	0.177081
0.326658	0.181187
0.328688	0.1855
0.330682	0.189906
0.332699	0.194493
0.334688	0.199141
0.336741	0.203858
0.338711	0.20874
0.340707	0.213748
0.342751	0.218946
0.34469	0.22418
0.346695	0.229638
0.348659	0.235369
0.350669	0.241125
0.352687	0.247158
0.354665	0.253396
0.356675	0.25984
0.358722	0.266532
0.360718	0.27337
0.362707	0.28043
0.364724	0.287762
0.366717	0.295346
0.368718	0.303185
0.370648	0.311246
0.372689	0.319761
0.374694	0.328545
0.376667	0.337612
0.378696	0.347076
0.380676	0.356889
0.382702	0.367183
0.384727	0.377845
0.386754	0.389018
0.388743	0.400529
0.390696	0.412536
0.392741	0.425208
0.394709	0.438175
0.396667	0.451646
0.398678	0.466063
0.400727	0.481217
0.402699	0.496898
0.404732	0.513297
0.406692	0.530512
0.408681	0.54854
0.410712	0.567656
0.412707	0.587671
0.414726	0.608523
0.416741	0.630511
0.418753	0.653904
0.420702	0.678049
0.422694	0.703604
0.424701	0.730896
0.426712	0.759334
0.428647	0.78947
0.430688	0.821336
0.43272	0.855037
0.434732	0.891218
0.436704	0.928899
0.438733	0.968979
0.443814	1.085
0.448907	1.21139
0.450944	1.26858
0.45286	1.32895
0.454903	1.39316
0.45689	1.46228
0.458885	1.53535
0.460936	1.61426
0.462928	1.69717
0.464968	1.785
0.466925	1.87836
0.468907	1.97904
0.470918	2.08585
0.472889	2.19804
0.474876	2.31949
0.476932	2.44944
0.478889	2.58742
0.480892	2.73508
0.482879	2.89356
0.484925	3.06409
0.486934	3.24577
0.488916	3.44027
0.490912	3.64549
0.492989	3.86649
0.494945	4.10298
0.496932	4.3545
0.498892	4.62059
0.500878	4.9103
0.502939	5.21917
0.504927	5.54799
0.506909	5.90092
0.508888	6.28066
0.510883	6.68352
0.512883	7.11524
0.514893	7.57921
0.5169	8.07212
0.518887	8.59802
0.520916	9.1652
0.525904	10.8021
0.530868	12.6111
0.532847	13.4473
0.534913	14.3402
0.536882	15.3022
0.538933	16.3183
0.540946	17.3972
0.542876	18.535
0.544902	19.7474
0.546925	21.0468
0.548895	22.402
0.550883	23.8431
0.552888	25.392
0.554913	27.0128
0.55688	28.7246
0.558901	30.5508
0.560877	32.484
0.562938	34.5337
0.564931	36.6764
0.566921	38.9286
0.568907	41.2826
0.570911	43.7604
0.572949	46.3688
0.574924	49.0722
0.576885	51.9063
0.578884	54.8948
0.580902	58.0013
0.582865	61.2349
0.584859	64.6435
0.586898	68.1694
0.588958	71.8681
0.590953	75.6774
0.592902	79.6266
0.59492	83.6931
0.596923	87.9263
0.59892	92.2955
0.600903	96.7398
0.60591	108.696
0.610902	121.259
0.612901	126.568
0.614922	132.018
0.61688	137.691
0.618897	143.411
0.620901	149.252
0.622962	155.297
0.624903	161.419
0.626838	167.603
0.628867	174.01
0.630893	180.503
0.632882	187.139
0.634868	193.912
0.636897	200.755
0.63889	207.817
0.640876	214.919
0.642909	222.122
0.644912	229.413
0.646921	236.779
0.648936	244.371
0.650921	251.883
0.652894	259.515
0.654894	267.35
0.656865	275.188
0.658867	283.152
0.660896	291.311
0.662896	299.466
0.664912	307.894
0.666918	316.249
0.668914	324.703
0.670939	333.172
0.672911	341.697
0.674916	350.442
0.676881	359.115
0.678859	367.784
0.68093	376.845
0.682882	385.703
0.684907	394.732
0.686868	403.855
0.688909	413.05
0.690929	422.494
0.692912	431.82
0.694928	441.038
0.696912	450.696
0.698923	460.097
0.699981	465.393
0.700153	466.537
0.699156	461.26
0.697119	452.031
0.695115	442.78
