===========================================
MEDIDA DE VI V2.9
===========================================

DÍA: 21/11/2024
HORA INICIO: 15:21:37
HORA FINAL: 15:33:30
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-2
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
Nºmedida	VOLTAJE(volt.)	CORRIENTE(amp.)	IMPEDANCIA(ohm.)	TIEMPO(seg.)	LIMITE_I/V(0/1)

N1	V1	I1	Z1	T1	Lim1	
0.00000E+0	-2.00000E+0	-4.94000E-3	404.85830E+0	0.00000E+0	0.00000E+0
1.00000E+0	-1.99000E+0	-4.93690E-3	403.08696E+0	0.00000E+0	0.00000E+0
2.00000E+0	-1.98000E+0	-4.93600E-3	401.13452E+0	0.00000E+0	0.00000E+0
3.00000E+0	-1.97000E+0	-4.93410E-3	399.26228E+0	0.00000E+0	0.00000E+0
4.00000E+0	-1.96000E+0	-4.92950E-3	397.60625E+0	0.00000E+0	0.00000E+0
5.00000E+0	-1.95000E+0	-4.92860E-3	395.64988E+0	0.00000E+0	0.00000E+0
6.00000E+0	-1.94000E+0	-4.92410E-3	393.98063E+0	0.00000E+0	0.00000E+0
7.00000E+0	-1.93000E+0	-4.92100E-3	392.19671E+0	0.00000E+0	0.00000E+0
8.00000E+0	-1.92000E+0	-4.91950E-3	390.28357E+0	0.00000E+0	0.00000E+0
9.00000E+0	-1.91000E+0	-4.91550E-3	388.56678E+0	0.00000E+0	0.00000E+0
10.00000E+0	-1.90000E+0	-4.91400E-3	386.65039E+0	0.00000E+0	0.00000E+0
11.00000E+0	-1.89000E+0	-4.91140E-3	384.81899E+0	0.00000E+0	0.00000E+0
12.00000E+0	-1.88000E+0	-4.90760E-3	383.07931E+0	0.00000E+0	0.00000E+0
13.00000E+0	-1.87000E+0	-4.90550E-3	381.20477E+0	0.00000E+0	0.00000E+0
14.00000E+0	-1.86000E+0	-4.90210E-3	379.42922E+0	0.00000E+0	0.00000E+0
15.00000E+0	-1.85000E+0	-4.90050E-3	377.51250E+0	0.00000E+0	0.00000E+0
16.00000E+0	-1.84000E+0	-4.89760E-3	375.69422E+0	0.00000E+0	0.00000E+0
17.00000E+0	-1.83000E+0	-4.89400E-3	373.92726E+0	0.00000E+0	0.00000E+0
18.00000E+0	-1.82000E+0	-4.89260E-3	371.99035E+0	0.00000E+0	0.00000E+0
19.00000E+0	-1.81000E+0	-4.88950E-3	370.18100E+0	0.00000E+0	0.00000E+0
20.00000E+0	-1.80000E+0	-4.88760E-3	368.27891E+0	0.00000E+0	0.00000E+0
21.00000E+0	-1.79000E+0	-4.88400E-3	366.50287E+0	0.00000E+0	0.00000E+0
22.00000E+0	-1.78000E+0	-4.88260E-3	364.55987E+0	0.00000E+0	0.00000E+0
23.00000E+0	-1.77000E+0	-4.87950E-3	362.74208E+0	0.00000E+0	0.00000E+0
24.00000E+0	-1.76000E+0	-4.87610E-3	360.94420E+0	0.00000E+0	0.00000E+0
