===========================================
MEDIDA DE VI V2.9
===========================================

DÍA: 05/11/2024
HORA INICIO: 16:51:43
HORA FINAL: 16:55:54
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-1
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
Nºmedida	VOLTAJE(volt.)	CORRIENTE(amp.)	IMPEDANCIA(ohm.)	TIEMPO(seg.)	LIMITE_I/V(0/1)

N1	V1	I1	Z1	T1	Lim1	
0.00000E+0	-2.00000E+0	-8.23740E-3	242.79506E+0	0.00000E+0	0.00000E+0
1.00000E+0	-1.99000E+0	-8.23550E-3	241.63682E+0	0.00000E+0	0.00000E+0
2.00000E+0	-1.98000E+0	-8.23020E-3	240.57739E+0	0.00000E+0	0.00000E+0
3.00000E+0	-1.97000E+0	-8.23020E-3	239.36235E+0	0.00000E+0	0.00000E+0
4.00000E+0	-1.96000E+0	-8.22450E-3	238.31236E+0	0.00000E+0	0.00000E+0
5.00000E+0	-1.95000E+0	-8.22310E-3	237.13685E+0	0.00000E+0	0.00000E+0
6.00000E+0	-1.94000E+0	-8.22210E-3	235.94945E+0	0.00000E+0	0.00000E+0
7.00000E+0	-1.93000E+0	-8.21540E-3	234.92465E+0	0.00000E+0	0.00000E+0
8.00000E+0	-1.92000E+0	-8.21640E-3	233.67898E+0	0.00000E+0	0.00000E+0
9.00000E+0	-1.91000E+0	-8.21160E-3	232.59779E+0	0.00000E+0	0.00000E+0
10.00000E+0	-1.90000E+0	-8.21110E-3	231.39409E+0	0.00000E+0	0.00000E+0
11.00000E+0	-1.89000E+0	-8.20490E-3	230.35016E+0	0.00000E+0	0.00000E+0
12.00000E+0	-1.88000E+0	-8.20490E-3	229.13137E+0	0.00000E+0	0.00000E+0
13.00000E+0	-1.87000E+0	-8.20160E-3	228.00429E+0	0.00000E+0	0.00000E+0
14.00000E+0	-1.86000E+0	-8.19680E-3	226.91782E+0	0.00000E+0	0.00000E+0
15.00000E+0	-1.85000E+0	-8.19680E-3	225.69783E+0	0.00000E+0	0.00000E+0
16.00000E+0	-1.84000E+0	-8.19160E-3	224.62034E+0	0.00000E+0	0.00000E+0
17.00000E+0	-1.83000E+0	-8.19110E-3	223.41322E+0	0.00000E+0	0.00000E+0
18.00000E+0	-1.82000E+0	-8.18820E-3	222.27107E+0	0.00000E+0	0.00000E+0
19.00000E+0	-1.81000E+0	-8.18630E-3	221.10111E+0	0.00000E+0	0.00000E+0
20.00000E+0	-1.80000E+0	-8.18110E-3	220.01931E+0	0.00000E+0	0.00000E+0
21.00000E+0	-1.79000E+0	-8.18010E-3	218.82373E+0	0.00000E+0	0.00000E+0
22.00000E+0	-1.78000E+0	-8.17820E-3	217.65181E+0	0.00000E+0	0.00000E+0
23.00000E+0	-1.77000E+0	-8.17250E-3	216.57999E+0	0.00000E+0	0.00000E+0
24.00000E+0	-1.76000E+0	-8.17350E-3	215.33003E+0	0.00000E+0	0.00000E+0
