C:\Documents and Settings\Potenciostato SP150\Escritorio\Alfonso\LIV_1_01.mpr
Ewe/V vs. SCE	<I>/mA
0.612936	76.4783
0.614073	80.4712
0.616102	87.6984
0.61807	94.909
0.623217	113.981
0.628289	133.26
0.630255	141.248
0.632264	149.34
0.634234	157.517
0.636308	165.885
0.638286	174.365
0.640307	182.909
0.642263	191.596
0.6443	200.131
0.646317	208.902
0.648294	217.636
0.650257	226.53
0.652248	235.524
0.654245	244.706
0.656287	253.853
0.658246	263.209
0.660256	272.213
0.66229	281.694
0.664309	291.334
0.66627	300.188
0.668283	309.575
0.670271	318.21
0.672297	327.029
0.674306	336.594
0.676258	346.494
0.678266	356.433
0.680278	366.656
0.682261	376.791
0.684251	387.28
0.686261	397.931
0.688253	408.123
0.690316	419.355
0.692309	430.159
0.694305	440.585
0.69633	451.874
0.698312	462.478
0.69972	469.86
0.69984	471.897
0.700164	472.782
0.699159	467.425
0.697095	457.524
0.695118	447.583
0.693126	436.115
0.691099	427.205
0.689104	416.695
0.687099	406.882
0.685038	397.298
0.683063	387.413
0.681069	377.626
0.679122	368.136
0.677082	358.426
0.675138	348.918
0.673107	339.206
0.671132	329.525
0.66913	319.931
0.667105	310.438
0.665082	300.837
0.663035	291.215
0.661085	281.77
0.659052	272.515
0.657072	263.251
0.655078	253.711
0.653079	244.544
0.651051	235.608
0.649081	226.477
0.647097	217.561
0.645077	208.696
0.643072	200.017
0.641092	191.368
0.639094	182.381
0.637097	173.679
0.635094	165.114
0.633086	156.737
0.631052	148.559
0.629058	140.462
0.62703	132.01
0.625062	124.197
0.623096	116.493
0.62109	108.784
0.619091	101.284
0.617062	93.8422
0.615069	86.438
0.613071	79.1827
0.611031	72.0581
0.609072	65.0009
0.607059	58.1664
0.605093	51.3969
0.603052	44.7222
0.601089	38.1391
0.599107	31.7376
0.597099	25.5103
0.595096	19.4208
0.593111	13.5242
0.591103	7.77574
0.589065	2.0432
0.587052	-3.49001
0.585034	-8.89718
0.583028	-14.1992
0.58106	-19.3077
0.579062	-24.25
0.577043	-29.0934
0.575038	-33.707
0.573079	-38.1787
0.571088	-42.5082
0.569049	-46.7856
0.567082	-50.8584
0.565093	-54.6128
0.563118	-58.3482
0.561029	-62.066
0.559034	-65.6208
0.557048	-69.0172
0.555085	-72.2169
0.553028	-75.327
0.551038	-78.3086
0.549084	-81.1951
0.547034	-83.9041
0.545068	-86.5179
0.543062	-88.9804
0.5411	-91.3941
0.539071	-93.5322
0.537089	-95.6824
0.53505	-97.7146
0.533016	-99.648
0.531042	-101.433
0.529021	-103.234
0.527058	-104.702
0.52503	-106.345
0.52307	-107.71
0.521047	-109.094
0.519108	-110.314
0.517049	-111.553
0.515078	-112.709
0.513016	-113.847
0.511105	-114.738
0.509038	-115.886
0.507073	-116.676
0.505027	-117.531
0.503074	-118.281
0.501115	-119.003
0.499022	-119.705
0.497115	-120.358
0.495097	-120.954
0.493115	-121.555
0.491101	-122.039
0.489114	-122.563
0.487125	-122.973
0.485147	-123.354
0.483106	-123.797
0.481141	-124.158
0.479053	-124.547
0.477088	-124.908
0.475105	-125.25
0.473075	-125.514
0.471113	-125.776
0.469099	-125.929
0.467211	-126.176
0.465166	-126.397
0.463085	-126.624
0.461208	-126.813
0.459116	-127.077
0.45711	-127.222
0.455127	-127.455
0.453085	-127.549
0.451217	-127.719
0.449139	-127.818
0.447157	-127.954
0.44522	-128.119
0.443124	-128.192
0.441226	-128.328
0.439376	-128.477
0.437258	-128.533
0.435324	-128.638
0.433162	-128.667
0.431136	-128.756
0.429256	-128.857
0.427185	-128.922
0.425134	-129.013
0.423177	-129.098
0.421163	-129.154
0.419217	-129.175
0.417173	-129.23
0.415274	-129.228
0.413238	-129.286
0.411215	-129.358
0.409193	-129.402
0.407207	-129.427
0.405214	-129.517
0.403265	-129.484
0.401293	-129.569
0.39925	-129.527
0.397233	-129.602
0.395196	-129.658
0.393305	-129.685
0.391242	-129.75
0.389252	-129.754
0.387299	-129.792
0.385317	-129.838
0.383199	-129.81
0.381156	-129.848
0.379186	-129.833
0.377184	-129.882
0.375251	-129.918
0.373209	-129.947
0.371206	-129.996
0.369231	-129.998
0.367268	-129.975
0.365208	-130.014
0.363231	-129.986
0.361285	-130.007
0.359224	-130.089
0.357239	-130.098
0.355141	-130.131
0.353114	-130.131
0.351109	-130.152
0.349187	-130.123
0.34728	-130.161
0.345147	-130.1
0.343164	-130.144
0.341196	-130.14
0.339167	-130.15
0.337218	-130.203
0.335174	-130.193
0.333236	-130.219
0.331272	-130.223
0.329145	-130.172
0.327198	-130.243
0.32525	-130.246
0.323169	-130.276
0.321181	-130.343
0.319175	-130.311
0.317146	-130.374
0.315129	-130.313
0.313191	-130.342
0.311245	-130.305
0.309163	-130.357
0.307241	-130.342
0.30514	-130.378
0.303229	-130.357
0.301153	-130.447
0.299279	-130.38
0.297157	-130.408
0.295252	-130.354
0.293172	-130.373
0.291143	-130.318
0.289298	-130.45
0.287248	-130.407
0.285255	-130.484
0.283164	-130.472
0.281306	-130.47
0.279188	-130.421
0.277101	-130.448
0.275094	-130.386
0.273193	-130.537
0.271245	-130.439
0.269165	-130.557
0.267255	-130.524
0.26518	-130.56
0.263209	-130.518
0.26119	-130.5
0.25915	-130.487
0.257192	-130.517
0.255202	-130.444
0.253161	-130.554
0.25123	-130.502
0.249076	-130.549
0.247173	-130.544
0.245179	-130.531
0.24316	-130.512
0.241192	-130.516
0.239141	-130.489
0.23716	-130.541
0.23527	-130.533
0.233189	-130.622
0.23126	-130.574
0.229185	-130.65
0.22722	-130.568
0.22511	-130.607
0.223157	-130.552
0.221113	-130.598
0.219131	-130.593
0.217221	-130.624
