Unit Serial No : Xe_Mono_Cal
Integration Time : 2 ms
Time Average: 15
Binning Average: 10
FFT Smoothing: 10%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 11/11/2024   12:00:00

Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
1    	171.7139      	58236.3993    	1173    
2    	172.0962      	58107.0281    	1175    
3    	172.4786      	57978.2150    	1178    
4    	172.8610      	57849.9615    	1179    
5    	173.2434      	57722.2641    	1180    
6    	173.6258      	57595.1190    	1185    
7    	174.0083      	57468.5178    	1185    
8    	174.3908      	57342.4618    	1184    
9    	174.7734      	57216.9476    	1183    
10   	175.1560      	57091.9668    	1183    
11   	175.5386      	56967.5258    	1183    
12   	175.9213      	56843.6064    	1183    
13   	176.3040      	56720.2201    	1184    
14   	176.6867      	56597.3536    	1185    
15   	177.0695      	56475.0085    	1190    
16   	177.4523      	56353.1815    	1192    
17   	177.8351      	56231.8645    	1193    
18   	178.2180      	56111.0591    	1193    
19   	178.6009      	55990.7621    	1193    
20   	178.9838      	55870.9703    	1193    
21   	179.3668      	55751.6757    	1193    
22   	179.7498      	55632.8800    	1192    
23   	180.1329      	55514.5802    	1192    
24   	180.5159      	55396.7683    	1191    
25   	180.8991      	55279.4461    	1192    
26   	181.2822      	55162.6104    	1195    
27   	181.6654      	55046.2538    	1191    
28   	182.0486      	54930.3823    	1191    
29   	182.4319      	54814.9840    	1191    
30   	182.8152      	54700.0557    	1191    
31   	183.1985      	54585.6038    	1190    
32   	183.5818      	54471.6163    	1187    
33   	183.9652      	54358.0949    	1184    
34   	184.3487      	54245.0322    	1183    
35   	184.7321      	54132.4298    	1182    
36   	185.1156      	54020.2851    	1181    
37   	185.4992      	53908.5953    	1181    
38   	185.8828      	53797.3530    	1181    
39   	186.2664      	53686.5601    	1181    
40   	186.6500      	53576.2139    	1182    
41   	187.0337      	53466.3116    	1182    
42   	187.4174      	53356.8463    	1182    
43   	187.8011      	53247.8196    	1182    
44   	188.1849      	53139.2290    	1180    
45   	188.5687      	53031.0675    	1180    
46   	188.9526      	52923.3368    	1183    
47   	189.3364      	52816.0345    	1181    
48   	189.7204      	52709.1579    	1182    
49   	190.1043      	52602.7003    	1182    
50   	190.4883      	52496.6635    	1183    
51   	190.8723      	52391.0449    	1184    
52   	191.2564      	52285.8380    	1184    
53   	191.6405      	52181.0444    	1187    
54   	192.0246      	52076.6618    	1188    
