===============================
MEDIDAS DE ZVF v4.2
===============================
DIA: 12/11/2024	HORA: 16:39
USUARIO:
REF.MUESTRA:  
OBSERVACIONES: 
TIPO IMPEDANCIA: Configuración 3 - CPRP ... Selecc. de función Cp-Rp
----------------------------------------------------------------------------
Vbias(V)	Cp(F)	Rp(Ohm)	FRECUENCIA(Hz)	Vrms(V)
-1.500E+0	96.056E-9	4.733E+3	20.000E+0	20.000E-3
-1.450E+0	99.739E-9	4.921E+3	20.000E+0	20.000E-3
-1.400E+0	98.695E-9	5.100E+3	20.000E+0	20.000E-3
-1.350E+0	95.409E-9	5.271E+3	20.000E+0	20.000E-3
-1.300E+0	101.421E-9	5.419E+3	20.000E+0	20.000E-3
-1.250E+0	85.362E-9	5.696E+3	20.000E+0	20.000E-3
-1.200E+0	108.435E-9	5.991E+3	20.000E+0	20.000E-3
-1.150E+0	102.571E-9	6.272E+3	20.000E+0	20.000E-3
-1.100E+0	105.541E-9	6.598E+3	20.000E+0	20.000E-3
-1.050E+0	109.092E-9	7.027E+3	20.000E+0	20.000E-3
-1.000E+0	107.730E-9	7.414E+3	20.000E+0	20.000E-3
-950.000E-3	117.646E-9	7.921E+3	20.000E+0	20.000E-3
-900.000E-3	109.688E-9	8.470E+3	20.000E+0	20.000E-3
-850.000E-3	115.882E-9	9.096E+3	20.000E+0	20.000E-3
-800.000E-3	111.706E-9	9.884E+3	20.000E+0	20.000E-3
-750.000E-3	121.395E-9	10.657E+3	20.000E+0	20.000E-3
-700.000E-3	118.715E-9	11.784E+3	20.000E+0	20.000E-3
-650.000E-3	119.392E-9	12.903E+3	20.000E+0	20.000E-3
-600.000E-3	123.270E-9	14.291E+3	20.000E+0	20.000E-3
-550.000E-3	122.625E-9	15.914E+3	20.000E+0	20.000E-3
-500.000E-3	125.686E-9	17.623E+3	20.000E+0	20.000E-3
-450.000E-3	129.185E-9	19.693E+3	20.000E+0	20.000E-3
-400.000E-3	130.202E-9	22.273E+3	20.000E+0	20.000E-3
-350.000E-3	132.665E-9	24.946E+3	20.000E+0	20.000E-3
-300.000E-3	136.821E-9	27.885E+3	20.000E+0	20.000E-3
-250.000E-3	139.899E-9	31.291E+3	20.000E+0	20.000E-3
-200.000E-3	143.463E-9	35.113E+3	20.000E+0	20.000E-3
-150.000E-3	146.950E-9	38.408E+3	20.000E+0	20.000E-3
-100.000E-3	151.267E-9	38.820E+3	20.000E+0	20.000E-3
-50.000E-3	154.954E-9	28.696E+3	20.000E+0	20.000E-3
0.000E+0	160.258E-9	12.572E+3	20.000E+0	20.000E-3
