===============================
MEDIDAS DE ZVF v4.2
===============================
DIA: 19/11/2024	HORA: 16:14
USUARIO:
REF.MUESTRA:  
OBSERVACIONES: 
TIPO IMPEDANCIA: Configuración 3 - CPRP ... Selecc. de función Cp-Rp
----------------------------------------------------------------------------
Vbias(V)	Cp(F)	Rp(Ohm)	FRECUENCIA(Hz)	Vrms(V)
-2.000E+0	-192.304E-6	4.327E+0	20.000E+0	20.000E-3
-1.950E+0	-187.550E-6	4.358E+0	20.000E+0	20.000E-3
-1.900E+0	-184.459E-6	4.384E+0	20.000E+0	20.000E-3
-1.850E+0	-182.929E-6	4.418E+0	20.000E+0	20.000E-3
-1.800E+0	-177.629E-6	4.450E+0	20.000E+0	20.000E-3
-1.750E+0	-175.818E-6	4.488E+0	20.000E+0	20.000E-3
-1.700E+0	-171.721E-6	4.522E+0	20.000E+0	20.000E-3
-1.650E+0	-167.964E-6	4.562E+0	20.000E+0	20.000E-3
-1.600E+0	-165.983E-6	4.607E+0	20.000E+0	20.000E-3
-1.550E+0	-161.728E-6	4.645E+0	20.000E+0	20.000E-3
-1.500E+0	-159.350E-6	4.692E+0	20.000E+0	20.000E-3
-1.450E+0	-155.626E-6	4.743E+0	20.000E+0	20.000E-3
-1.400E+0	-151.770E-6	4.791E+0	20.000E+0	20.000E-3
-1.350E+0	-148.780E-6	4.850E+0	20.000E+0	20.000E-3
-1.300E+0	-145.014E-6	4.900E+0	20.000E+0	20.000E-3
-1.250E+0	-141.700E-6	4.968E+0	20.000E+0	20.000E-3
-1.200E+0	-137.404E-6	5.030E+0	20.000E+0	20.000E-3
-1.150E+0	-134.212E-6	5.106E+0	20.000E+0	20.000E-3
-1.100E+0	-129.760E-6	5.182E+0	20.000E+0	20.000E-3
-1.050E+0	-125.769E-6	5.266E+0	20.000E+0	20.000E-3
-1.000E+0	-121.648E-6	5.347E+0	20.000E+0	20.000E-3
-950.000E-3	-116.903E-6	5.445E+0	20.000E+0	20.000E-3
-900.000E-3	-113.709E-6	5.553E+0	20.000E+0	20.000E-3
-850.000E-3	-108.284E-6	5.668E+0	20.000E+0	20.000E-3
-800.000E-3	-103.790E-6	5.789E+0	20.000E+0	20.000E-3
-750.000E-3	-98.625E-6	5.923E+0	20.000E+0	20.000E-3
-700.000E-3	-94.404E-6	6.073E+0	20.000E+0	20.000E-3
-650.000E-3	-88.759E-6	6.241E+0	20.000E+0	20.000E-3
-600.000E-3	-84.107E-6	6.430E+0	20.000E+0	20.000E-3
-550.000E-3	-78.267E-6	6.636E+0	20.000E+0	20.000E-3
-500.000E-3	-73.176E-6	6.876E+0	20.000E+0	20.000E-3
-450.000E-3	-67.518E-6	7.143E+0	20.000E+0	20.000E-3
-400.000E-3	-62.508E-6	7.445E+0	20.000E+0	20.000E-3
-350.000E-3	-56.424E-6	7.802E+0	20.000E+0	20.000E-3
-300.000E-3	-51.156E-6	8.215E+0	20.000E+0	20.000E-3
-250.000E-3	-45.504E-6	8.699E+0	20.000E+0	20.000E-3
-200.000E-3	-39.921E-6	9.279E+0	20.000E+0	20.000E-3
-150.000E-3	-34.353E-6	9.990E+0	20.000E+0	20.000E-3
-100.000E-3	-29.272E-6	10.869E+0	20.000E+0	20.000E-3
-50.000E-3	-23.651E-6	11.961E+0	20.000E+0	20.000E-3
0.000E+0	-18.860E-6	13.398E+0	20.000E+0	20.000E-3
50.000E-3	-14.424E-6	15.319E+0	20.000E+0	20.000E-3
100.000E-3	-10.365E-6	17.997E+0	20.000E+0	20.000E-3
150.000E-3	-6.925E-6	21.916E+0	20.000E+0	20.000E-3
200.000E-3	-4.203E-6	27.993E+0	20.000E+0	20.000E-3
250.000E-3	-2.116E-6	38.179E+0	20.000E+0	20.000E-3
300.000E-3	-805.351E-9	56.700E+0	20.000E+0	20.000E-3
350.000E-3	-171.384E-9	92.576E+0	20.000E+0	20.000E-3
400.000E-3	121.322E-9	162.113E+0	20.000E+0	20.000E-3
450.000E-3	206.286E-9	285.581E+0	20.000E+0	20.000E-3
500.000E-3	178.441E-9	475.905E+0	20.000E+0	20.000E-3
550.000E-3	229.309E-9	732.064E+0	20.000E+0	20.000E-3
600.000E-3	222.206E-9	1.047E+3	20.000E+0	20.000E-3
650.000E-3	-117.655E-9	1.414E+3	20.000E+0	20.000E-3
700.000E-3	213.375E-9	1.897E+3	20.000E+0	20.000E-3
-2.000E+0	-91.612E-6	4.388E+0	30.000E+0	20.000E-3
-1.950E+0	-89.635E-6	4.427E+0	30.000E+0	20.000E-3
-1.900E+0	-87.161E-6	4.460E+0	30.000E+0	20.000E-3
-1.850E+0	-85.209E-6	4.489E+0	30.000E+0	20.000E-3
-1.800E+0	-84.061E-6	4.524E+0	30.000E+0	20.000E-3
-1.750E+0	-82.361E-6	4.560E+0	30.000E+0	20.000E-3
-1.700E+0	-80.985E-6	4.596E+0	30.000E+0	20.000E-3
-1.650E+0	-79.042E-6	4.636E+0	30.000E+0	20.000E-3
-1.600E+0	-77.803E-6	4.676E+0	30.000E+0	20.000E-3
-1.550E+0	-76.373E-6	4.720E+0	30.000E+0	20.000E-3
-1.500E+0	-74.758E-6	4.762E+0	30.000E+0	20.000E-3
-1.450E+0	-73.316E-6	4.815E+0	30.000E+0	20.000E-3
-1.400E+0	-71.240E-6	4.863E+0	30.000E+0	20.000E-3
-1.350E+0	-70.009E-6	4.919E+0	30.000E+0	20.000E-3
-1.300E+0	-68.463E-6	4.980E+0	30.000E+0	20.000E-3
-1.250E+0	-67.130E-6	5.041E+0	30.000E+0	20.000E-3
-1.200E+0	-64.826E-6	5.109E+0	30.000E+0	20.000E-3
-1.150E+0	-63.086E-6	5.182E+0	30.000E+0	20.000E-3
-1.100E+0	-61.033E-6	5.260E+0	30.000E+0	20.000E-3
-1.050E+0	-58.605E-6	5.341E+0	30.000E+0	20.000E-3
-1.000E+0	-56.717E-6	5.434E+0	30.000E+0	20.000E-3
-950.000E-3	-55.080E-6	5.527E+0	30.000E+0	20.000E-3
-900.000E-3	-52.709E-6	5.635E+0	30.000E+0	20.000E-3
-850.000E-3	-51.153E-6	5.751E+0	30.000E+0	20.000E-3
-800.000E-3	-48.614E-6	5.876E+0	30.000E+0	20.000E-3
-750.000E-3	-46.299E-6	6.013E+0	30.000E+0	20.000E-3
-700.000E-3	-44.171E-6	6.166E+0	30.000E+0	20.000E-3
-650.000E-3	-41.537E-6	6.336E+0	30.000E+0	20.000E-3
-600.000E-3	-39.582E-6	6.521E+0	30.000E+0	20.000E-3
-550.000E-3	-36.690E-6	6.736E+0	30.000E+0	20.000E-3
-500.000E-3	-34.486E-6	6.974E+0	30.000E+0	20.000E-3
-450.000E-3	-31.896E-6	7.244E+0	30.000E+0	20.000E-3
-400.000E-3	-29.209E-6	7.556E+0	30.000E+0	20.000E-3
-350.000E-3	-26.499E-6	7.915E+0	30.000E+0	20.000E-3
-300.000E-3	-24.156E-6	8.329E+0	30.000E+0	20.000E-3
-250.000E-3	-21.343E-6	8.828E+0	30.000E+0	20.000E-3
-200.000E-3	-18.518E-6	9.424E+0	30.000E+0	20.000E-3
