===============================
MEDIDAS DE ZVF v4.2
===============================
DIA: 20/11/2024	HORA: 11:26
USUARIO:
REF.MUESTRA:  
OBSERVACIONES: 
TIPO IMPEDANCIA: Configuración 3 - CPRP ... Selecc. de función Cp-Rp
----------------------------------------------------------------------------
Vbias(V)	Cp(F)	Rp(Ohm)	FRECUENCIA(Hz)	Vrms(V)
-2.000E+0	-117.966E-6	4.117E+0	20.000E+0	20.000E-3
-1.950E+0	-116.839E-6	4.163E+0	20.000E+0	20.000E-3
-1.900E+0	-115.666E-6	4.206E+0	20.000E+0	20.000E-3
-1.850E+0	-109.461E-6	4.246E+0	20.000E+0	20.000E-3
-1.800E+0	-108.751E-6	4.304E+0	20.000E+0	20.000E-3
-1.750E+0	-104.337E-6	4.350E+0	20.000E+0	20.000E-3
-1.700E+0	-102.779E-6	4.413E+0	20.000E+0	20.000E-3
-1.650E+0	-100.490E-6	4.467E+0	20.000E+0	20.000E-3
-1.600E+0	-96.468E-6	4.534E+0	20.000E+0	20.000E-3
-1.550E+0	-92.899E-6	4.600E+0	20.000E+0	20.000E-3
-1.500E+0	-90.070E-6	4.676E+0	20.000E+0	20.000E-3
-1.450E+0	-86.608E-6	4.748E+0	20.000E+0	20.000E-3
-1.400E+0	-84.088E-6	4.843E+0	20.000E+0	20.000E-3
-1.350E+0	-81.172E-6	4.933E+0	20.000E+0	20.000E-3
-1.300E+0	-77.680E-6	5.033E+0	20.000E+0	20.000E-3
-1.250E+0	-74.892E-6	5.138E+0	20.000E+0	20.000E-3
-1.200E+0	-70.380E-6	5.257E+0	20.000E+0	20.000E-3
-1.150E+0	-67.156E-6	5.391E+0	20.000E+0	20.000E-3
-1.100E+0	-64.648E-6	5.533E+0	20.000E+0	20.000E-3
-1.050E+0	-59.587E-6	5.687E+0	20.000E+0	20.000E-3
-1.000E+0	-57.245E-6	5.866E+0	20.000E+0	20.000E-3
-950.000E-3	-52.671E-6	6.065E+0	20.000E+0	20.000E-3
-900.000E-3	-50.188E-6	6.286E+0	20.000E+0	20.000E-3
-850.000E-3	-45.420E-6	6.522E+0	20.000E+0	20.000E-3
-800.000E-3	-41.472E-6	6.812E+0	20.000E+0	20.000E-3
-750.000E-3	-38.393E-6	7.145E+0	20.000E+0	20.000E-3
-700.000E-3	-33.906E-6	7.513E+0	20.000E+0	20.000E-3
-650.000E-3	-31.410E-6	7.969E+0	20.000E+0	20.000E-3
-600.000E-3	-26.503E-6	8.479E+0	20.000E+0	20.000E-3
-550.000E-3	-23.181E-6	9.122E+0	20.000E+0	20.000E-3
