===============================
MEDIDAS DE ZVF v4.2
===============================
DIA: 20/11/2024	HORA: 13:47
USUARIO:
REF.MUESTRA:  
OBSERVACIONES: 
TIPO IMPEDANCIA: Configuración 3 - CPRP ... Selecc. de función Cp-Rp
----------------------------------------------------------------------------
Vbias(V)	Cp(F)	Rp(Ohm)	FRECUENCIA(Hz)	Vrms(V)
-2.000E+0	-144.482E-6	3.862E+0	20.000E+0	20.000E-3
-1.950E+0	-140.598E-6	3.883E+0	20.000E+0	20.000E-3
-1.900E+0	-137.071E-6	3.923E+0	20.000E+0	20.000E-3
-1.850E+0	-135.688E-6	3.966E+0	20.000E+0	20.000E-3
-1.800E+0	-132.250E-6	4.003E+0	20.000E+0	20.000E-3
-1.750E+0	-129.650E-6	4.050E+0	20.000E+0	20.000E-3
-1.700E+0	-125.467E-6	4.084E+0	20.000E+0	20.000E-3
-1.650E+0	-122.492E-6	4.134E+0	20.000E+0	20.000E-3
-1.600E+0	-119.585E-6	4.193E+0	20.000E+0	20.000E-3
-1.550E+0	-116.478E-6	4.239E+0	20.000E+0	20.000E-3
-1.500E+0	-113.200E-6	4.295E+0	20.000E+0	20.000E-3
-1.450E+0	-111.862E-6	4.357E+0	20.000E+0	20.000E-3
-1.400E+0	-106.321E-6	4.419E+0	20.000E+0	20.000E-3
-1.350E+0	-102.917E-6	4.493E+0	20.000E+0	20.000E-3
-1.300E+0	-99.377E-6	4.571E+0	20.000E+0	20.000E-3
-1.250E+0	-97.005E-6	4.646E+0	20.000E+0	20.000E-3
-1.200E+0	-92.808E-6	4.728E+0	20.000E+0	20.000E-3
-1.150E+0	-89.013E-6	4.829E+0	20.000E+0	20.000E-3
-1.100E+0	-86.072E-6	4.934E+0	20.000E+0	20.000E-3
-1.050E+0	-83.265E-6	5.038E+0	20.000E+0	20.000E-3
-1.000E+0	-78.009E-6	5.152E+0	20.000E+0	20.000E-3
-950.000E-3	-73.497E-6	5.293E+0	20.000E+0	20.000E-3
-900.000E-3	-71.486E-6	5.435E+0	20.000E+0	20.000E-3
-850.000E-3	-67.066E-6	5.604E+0	20.000E+0	20.000E-3
-800.000E-3	-62.048E-6	5.775E+0	20.000E+0	20.000E-3
-750.000E-3	-58.267E-6	5.975E+0	20.000E+0	20.000E-3
-700.000E-3	-54.871E-6	6.206E+0	20.000E+0	20.000E-3
-650.000E-3	-49.747E-6	6.450E+0	20.000E+0	20.000E-3
-600.000E-3	-44.963E-6	6.742E+0	20.000E+0	20.000E-3
-550.000E-3	-41.209E-6	7.080E+0	20.000E+0	20.000E-3
-500.000E-3	-36.716E-6	7.449E+0	20.000E+0	20.000E-3
-450.000E-3	-33.047E-6	7.919E+0	20.000E+0	20.000E-3
-400.000E-3	-29.302E-6	8.450E+0	20.000E+0	20.000E-3
