===============================
MEDIDAS DE ZVF v4.2
===============================
DIA: 20/11/2024	HORA: 17:22
USUARIO:
REF.MUESTRA:  
OBSERVACIONES: 
TIPO IMPEDANCIA: Configuración 3 - CPRP ... Selecc. de función Cp-Rp
----------------------------------------------------------------------------
Vbias(V)	Cp(F)	Rp(Ohm)	FRECUENCIA(Hz)	Vrms(V)
-2.000E+0	-115.560E-6	3.717E+0	20.000E+0	20.000E-3
-1.950E+0	-113.967E-6	3.751E+0	20.000E+0	20.000E-3
-1.900E+0	-116.186E-6	3.795E+0	20.000E+0	20.000E-3
-1.850E+0	-110.675E-6	3.832E+0	20.000E+0	20.000E-3
-1.800E+0	-108.463E-6	3.875E+0	20.000E+0	20.000E-3
-1.750E+0	-105.727E-6	3.922E+0	20.000E+0	20.000E-3
-1.700E+0	-103.469E-6	3.973E+0	20.000E+0	20.000E-3
-1.650E+0	-100.439E-6	4.029E+0	20.000E+0	20.000E-3
-1.600E+0	-97.186E-6	4.080E+0	20.000E+0	20.000E-3
-1.550E+0	-94.056E-6	4.140E+0	20.000E+0	20.000E-3
-1.500E+0	-91.544E-6	4.202E+0	20.000E+0	20.000E-3
-1.450E+0	-89.230E-6	4.265E+0	20.000E+0	20.000E-3
-1.400E+0	-86.530E-6	4.330E+0	20.000E+0	20.000E-3
-1.350E+0	-80.025E-6	4.409E+0	20.000E+0	20.000E-3
-1.300E+0	-76.870E-6	4.500E+0	20.000E+0	20.000E-3
-1.250E+0	-73.414E-6	4.587E+0	20.000E+0	20.000E-3
-1.200E+0	-74.108E-6	4.697E+0	20.000E+0	20.000E-3
-1.150E+0	-69.888E-6	4.790E+0	20.000E+0	20.000E-3
-1.100E+0	-67.134E-6	4.902E+0	20.000E+0	20.000E-3
-1.050E+0	-62.620E-6	5.029E+0	20.000E+0	20.000E-3
-1.000E+0	-56.263E-6	5.163E+0	20.000E+0	20.000E-3
-950.000E-3	-53.346E-6	5.319E+0	20.000E+0	20.000E-3
-900.000E-3	-52.039E-6	5.491E+0	20.000E+0	20.000E-3
-850.000E-3	-49.471E-6	5.687E+0	20.000E+0	20.000E-3
-800.000E-3	-46.744E-6	5.899E+0	20.000E+0	20.000E-3
-750.000E-3	-42.758E-6	6.147E+0	20.000E+0	20.000E-3
-700.000E-3	-37.932E-6	6.403E+0	20.000E+0	20.000E-3
-650.000E-3	-33.742E-6	6.723E+0	20.000E+0	20.000E-3
-600.000E-3	-31.088E-6	7.081E+0	20.000E+0	20.000E-3
-550.000E-3	-27.114E-6	7.502E+0	20.000E+0	20.000E-3
-500.000E-3	-23.742E-6	7.997E+0	20.000E+0	20.000E-3
-450.000E-3	-20.094E-6	8.594E+0	20.000E+0	20.000E-3
-400.000E-3	-16.322E-6	9.318E+0	20.000E+0	20.000E-3
-350.000E-3	-13.687E-6	10.254E+0	20.000E+0	20.000E-3
-300.000E-3	-11.129E-6	11.405E+0	20.000E+0	20.000E-3
-250.000E-3	-8.181E-6	12.912E+0	20.000E+0	20.000E-3
-200.000E-3	-7.295E-6	14.987E+0	20.000E+0	20.000E-3
-150.000E-3	-5.470E-6	17.857E+0	20.000E+0	20.000E-3
-100.000E-3	-2.947E-6	22.081E+0	20.000E+0	20.000E-3
-50.000E-3	-1.791E-6	28.759E+0	20.000E+0	20.000E-3
0.000E+0	-815.435E-9	40.238E+0	20.000E+0	20.000E-3
50.000E-3	-152.357E-9	61.628E+0	20.000E+0	20.000E-3
100.000E-3	159.144E-9	104.024E+0	20.000E+0	20.000E-3
150.000E-3	140.049E-9	187.639E+0	20.000E+0	20.000E-3
200.000E-3	187.527E-9	330.644E+0	20.000E+0	20.000E-3
250.000E-3	184.606E-9	548.163E+0	20.000E+0	20.000E-3
300.000E-3	194.913E-9	825.223E+0	20.000E+0	20.000E-3
350.000E-3	159.558E-9	1.173E+3	20.000E+0	20.000E-3
400.000E-3	202.197E-9	1.566E+3	20.000E+0	20.000E-3
450.000E-3	200.626E-9	2.125E+3	20.000E+0	20.000E-3
500.000E-3	179.576E-9	3.116E+3	20.000E+0	20.000E-3
