===============================
MEDIDAS DE ZVF v4.2
===============================
DIA: 20/11/2024	HORA: 15:23
USUARIO:
REF.MUESTRA:  
OBSERVACIONES: 
TIPO IMPEDANCIA: Configuración 3 - CPRP ... Selecc. de función Cp-Rp
----------------------------------------------------------------------------
Vbias(V)	Cp(F)	Rp(Ohm)	FRECUENCIA(Hz)	Vrms(V)
-2.000E+0	-144.394E-6	3.882E+0	20.000E+0	20.000E-3
-1.950E+0	-142.427E-6	3.911E+0	20.000E+0	20.000E-3
-1.900E+0	-140.822E-6	3.943E+0	20.000E+0	20.000E-3
-1.850E+0	-135.945E-6	3.975E+0	20.000E+0	20.000E-3
-1.800E+0	-134.284E-6	4.017E+0	20.000E+0	20.000E-3
-1.750E+0	-130.632E-6	4.054E+0	20.000E+0	20.000E-3
-1.700E+0	-127.912E-6	4.093E+0	20.000E+0	20.000E-3
-1.650E+0	-125.857E-6	4.132E+0	20.000E+0	20.000E-3
-1.600E+0	-122.018E-6	4.177E+0	20.000E+0	20.000E-3
-1.550E+0	-119.330E-6	4.220E+0	20.000E+0	20.000E-3
-1.500E+0	-117.779E-6	4.268E+0	20.000E+0	20.000E-3
-1.450E+0	-113.904E-6	4.319E+0	20.000E+0	20.000E-3
-1.400E+0	-110.293E-6	4.375E+0	20.000E+0	20.000E-3
-1.350E+0	-108.754E-6	4.436E+0	20.000E+0	20.000E-3
-1.300E+0	-105.203E-6	4.504E+0	20.000E+0	20.000E-3
-1.250E+0	-102.544E-6	4.565E+0	20.000E+0	20.000E-3
-1.200E+0	-98.968E-6	4.642E+0	20.000E+0	20.000E-3
-1.150E+0	-95.688E-6	4.717E+0	20.000E+0	20.000E-3
-1.100E+0	-92.213E-6	4.803E+0	20.000E+0	20.000E-3
-1.050E+0	-89.063E-6	4.897E+0	20.000E+0	20.000E-3
-1.000E+0	-85.471E-6	4.995E+0	20.000E+0	20.000E-3
-950.000E-3	-81.864E-6	5.103E+0	20.000E+0	20.000E-3
-900.000E-3	-78.779E-6	5.215E+0	20.000E+0	20.000E-3
-850.000E-3	-73.644E-6	5.341E+0	20.000E+0	20.000E-3
-800.000E-3	-68.964E-6	5.481E+0	20.000E+0	20.000E-3
-750.000E-3	-65.679E-6	5.629E+0	20.000E+0	20.000E-3
-700.000E-3	-62.848E-6	5.803E+0	20.000E+0	20.000E-3
-650.000E-3	-58.965E-6	5.992E+0	20.000E+0	20.000E-3
-600.000E-3	-54.582E-6	6.205E+0	20.000E+0	20.000E-3
-550.000E-3	-51.187E-6	6.445E+0	20.000E+0	20.000E-3
-500.000E-3	-47.719E-6	6.723E+0	20.000E+0	20.000E-3
-450.000E-3	-42.815E-6	7.042E+0	20.000E+0	20.000E-3
-400.000E-3	-38.136E-6	7.398E+0	20.000E+0	20.000E-3
-350.000E-3	-33.953E-6	7.820E+0	20.000E+0	20.000E-3
-300.000E-3	-30.126E-6	8.319E+0	20.000E+0	20.000E-3
-250.000E-3	-26.832E-6	8.909E+0	20.000E+0	20.000E-3
-200.000E-3	-22.206E-6	9.633E+0	20.000E+0	20.000E-3
-150.000E-3	-18.294E-6	10.518E+0	20.000E+0	20.000E-3
-100.000E-3	-14.784E-6	11.674E+0	20.000E+0	20.000E-3
-50.000E-3	-11.351E-6	13.140E+0	20.000E+0	20.000E-3
0.000E+0	-8.362E-6	15.145E+0	20.000E+0	20.000E-3
50.000E-3	-5.846E-6	17.918E+0	20.000E+0	20.000E-3
100.000E-3	-3.405E-6	22.000E+0	20.000E+0	20.000E-3
150.000E-3	-2.041E-6	28.426E+0	20.000E+0	20.000E-3
200.000E-3	-858.314E-9	39.253E+0	20.000E+0	20.000E-3
250.000E-3	-206.112E-9	59.086E+0	20.000E+0	20.000E-3
300.000E-3	46.746E-9	97.966E+0	20.000E+0	20.000E-3
350.000E-3	164.393E-9	172.825E+0	20.000E+0	20.000E-3
400.000E-3	192.160E-9	303.590E+0	20.000E+0	20.000E-3
450.000E-3	225.850E-9	501.523E+0	20.000E+0	20.000E-3
500.000E-3	241.911E-9	760.214E+0	20.000E+0	20.000E-3
550.000E-3	227.453E-9	1.072E+3	20.000E+0	20.000E-3
600.000E-3	-56.745E-9	1.443E+3	20.000E+0	20.000E-3
650.000E-3	219.191E-9	1.923E+3	20.000E+0	20.000E-3
700.000E-3	198.111E-9	2.775E+3	20.000E+0	20.000E-3
-2.000E+0	-73.116E-6	3.919E+0	30.000E+0	20.000E-3
-1.950E+0	-69.974E-6	3.959E+0	30.000E+0	20.000E-3
-1.900E+0	-69.091E-6	3.989E+0	30.000E+0	20.000E-3
-1.850E+0	-66.526E-6	4.027E+0	30.000E+0	20.000E-3
-1.800E+0	-64.283E-6	4.064E+0	30.000E+0	20.000E-3
-1.750E+0	-62.984E-6	4.099E+0	30.000E+0	20.000E-3
-1.700E+0	-64.046E-6	4.137E+0	30.000E+0	20.000E-3
-1.650E+0	-62.453E-6	4.177E+0	30.000E+0	20.000E-3
-1.600E+0	-60.508E-6	4.221E+0	30.000E+0	20.000E-3
-1.550E+0	-58.945E-6	4.268E+0	30.000E+0	20.000E-3
-1.500E+0	-56.590E-6	4.319E+0	30.000E+0	20.000E-3
-1.450E+0	-54.904E-6	4.370E+0	30.000E+0	20.000E-3
-1.400E+0	-53.440E-6	4.428E+0	30.000E+0	20.000E-3
-1.350E+0	-52.813E-6	4.482E+0	30.000E+0	20.000E-3
-1.300E+0	-50.802E-6	4.547E+0	30.000E+0	20.000E-3
-1.250E+0	-48.987E-6	4.614E+0	30.000E+0	20.000E-3
-1.200E+0	-48.536E-6	4.684E+0	30.000E+0	20.000E-3
-1.150E+0	-47.654E-6	4.762E+0	30.000E+0	20.000E-3
-1.100E+0	-44.749E-6	4.848E+0	30.000E+0	20.000E-3
-1.050E+0	-43.061E-6	4.936E+0	30.000E+0	20.000E-3
-1.000E+0	-42.030E-6	5.034E+0	30.000E+0	20.000E-3
-950.000E-3	-39.845E-6	5.139E+0	30.000E+0	20.000E-3
-900.000E-3	-37.781E-6	5.254E+0	30.000E+0	20.000E-3
-850.000E-3	-36.853E-6	5.378E+0	30.000E+0	20.000E-3
-800.000E-3	-34.375E-6	5.520E+0	30.000E+0	20.000E-3
-750.000E-3	-31.894E-6	5.672E+0	30.000E+0	20.000E-3
-700.000E-3	-30.401E-6	5.837E+0	30.000E+0	20.000E-3
-650.000E-3	-29.516E-6	6.026E+0	30.000E+0	20.000E-3
-600.000E-3	-27.023E-6	6.237E+0	30.000E+0	20.000E-3
-550.000E-3	-24.440E-6	6.479E+0	30.000E+0	20.000E-3
-500.000E-3	-23.210E-6	6.745E+0	30.000E+0	20.000E-3
-450.000E-3	-20.488E-6	7.052E+0	30.000E+0	20.000E-3
-400.000E-3	-19.467E-6	7.409E+0	30.000E+0	20.000E-3
-350.000E-3	-17.426E-6	7.819E+0	30.000E+0	20.000E-3
-300.000E-3	-15.240E-6	8.313E+0	30.000E+0	20.000E-3
-250.000E-3	-12.984E-6	8.908E+0	30.000E+0	20.000E-3
-200.000E-3	-11.035E-6	9.617E+0	30.000E+0	20.000E-3
-150.000E-3	-9.809E-6	10.486E+0	30.000E+0	20.000E-3
-100.000E-3	-7.052E-6	11.610E+0	30.000E+0	20.000E-3
-50.000E-3	-6.002E-6	13.036E+0	30.000E+0	20.000E-3
0.000E+0	-4.038E-6	14.969E+0	30.000E+0	20.000E-3
50.000E-3	-2.981E-6	17.663E+0	30.000E+0	20.000E-3
100.000E-3	-1.822E-6	21.610E+0	30.000E+0	20.000E-3
150.000E-3	-999.277E-9	27.727E+0	30.000E+0	20.000E-3
200.000E-3	-693.046E-9	37.962E+0	30.000E+0	20.000E-3
250.000E-3	-18.755E-9	56.765E+0	30.000E+0	20.000E-3
300.000E-3	182.475E-9	93.043E+0	30.000E+0	20.000E-3
350.000E-3	164.337E-9	163.839E+0	30.000E+0	20.000E-3
400.000E-3	183.947E-9	288.129E+0	30.000E+0	20.000E-3
450.000E-3	136.640E-9	477.306E+0	30.000E+0	20.000E-3
500.000E-3	200.913E-9	733.966E+0	30.000E+0	20.000E-3
550.000E-3	208.151E-9	1.041E+3	30.000E+0	20.000E-3
600.000E-3	13.833E-9	1.448E+3	30.000E+0	20.000E-3
650.000E-3	205.779E-9	1.854E+3	30.000E+0	20.000E-3
700.000E-3	188.541E-9	2.645E+3	30.000E+0	20.000E-3
-2.000E+0	-42.817E-6	3.933E+0	40.000E+0	20.000E-3
-1.950E+0	-38.431E-6	3.978E+0	40.000E+0	20.000E-3
-1.900E+0	-40.247E-6	4.003E+0	40.000E+0	20.000E-3
-1.850E+0	-41.178E-6	4.047E+0	40.000E+0	20.000E-3
-1.800E+0	-39.087E-6	4.087E+0	40.000E+0	20.000E-3
-1.750E+0	-35.768E-6	4.119E+0	40.000E+0	20.000E-3
-1.700E+0	-36.289E-6	4.149E+0	40.000E+0	20.000E-3
-1.650E+0	-37.378E-6	4.194E+0	40.000E+0	20.000E-3
-1.600E+0	-36.469E-6	4.233E+0	40.000E+0	20.000E-3
-1.550E+0	-36.246E-6	4.289E+0	40.000E+0	20.000E-3
-1.500E+0	-32.758E-6	4.343E+0	40.000E+0	20.000E-3
-1.450E+0	-30.900E-6	4.392E+0	40.000E+0	20.000E-3
-1.400E+0	-29.993E-6	4.437E+0	40.000E+0	20.000E-3
