===============================
MEDIDAS DE ZVF v4.2
===============================
DIA: 20/11/2024	HORA: 9:45
USUARIO:
REF.MUESTRA:  
OBSERVACIONES: 
TIPO IMPEDANCIA: Configuración 3 - CPRP ... Selecc. de función Cp-Rp
----------------------------------------------------------------------------
Vbias(V)	Cp(F)	Rp(Ohm)	FRECUENCIA(Hz)	Vrms(V)
-2.000E+0	-202.110E-6	4.165E+0	20.000E+0	20.000E-3
-1.950E+0	-198.407E-6	4.200E+0	20.000E+0	20.000E-3
-1.900E+0	-194.781E-6	4.229E+0	20.000E+0	20.000E-3
-1.850E+0	-191.404E-6	4.262E+0	20.000E+0	20.000E-3
-1.800E+0	-188.053E-6	4.299E+0	20.000E+0	20.000E-3
-1.750E+0	-183.400E-6	4.340E+0	20.000E+0	20.000E-3
-1.700E+0	-179.986E-6	4.384E+0	20.000E+0	20.000E-3
-1.650E+0	-176.540E-6	4.429E+0	20.000E+0	20.000E-3
-1.600E+0	-172.113E-6	4.466E+0	20.000E+0	20.000E-3
-1.550E+0	-168.285E-6	4.515E+0	20.000E+0	20.000E-3
-1.500E+0	-164.082E-6	4.569E+0	20.000E+0	20.000E-3
-1.450E+0	-160.830E-6	4.627E+0	20.000E+0	20.000E-3
-1.400E+0	-157.748E-6	4.679E+0	20.000E+0	20.000E-3
-1.350E+0	-153.360E-6	4.743E+0	20.000E+0	20.000E-3
-1.300E+0	-148.112E-6	4.808E+0	20.000E+0	20.000E-3
-1.250E+0	-144.224E-6	4.876E+0	20.000E+0	20.000E-3
-1.200E+0	-139.370E-6	4.953E+0	20.000E+0	20.000E-3
-1.150E+0	-134.426E-6	5.034E+0	20.000E+0	20.000E-3
-1.100E+0	-130.366E-6	5.119E+0	20.000E+0	20.000E-3
-1.050E+0	-125.983E-6	5.216E+0	20.000E+0	20.000E-3
-1.000E+0	-121.160E-6	5.321E+0	20.000E+0	20.000E-3
-950.000E-3	-114.765E-6	5.431E+0	20.000E+0	20.000E-3
-900.000E-3	-110.252E-6	5.551E+0	20.000E+0	20.000E-3
-850.000E-3	-105.247E-6	5.684E+0	20.000E+0	20.000E-3
-800.000E-3	-99.895E-6	5.835E+0	20.000E+0	20.000E-3
-750.000E-3	-94.065E-6	5.996E+0	20.000E+0	20.000E-3
-700.000E-3	-88.791E-6	6.186E+0	20.000E+0	20.000E-3
-650.000E-3	-83.344E-6	6.391E+0	20.000E+0	20.000E-3
-600.000E-3	-76.762E-6	6.615E+0	20.000E+0	20.000E-3
-550.000E-3	-71.327E-6	6.881E+0	20.000E+0	20.000E-3
-500.000E-3	-65.054E-6	7.180E+0	20.000E+0	20.000E-3
-450.000E-3	-59.580E-6	7.526E+0	20.000E+0	20.000E-3
-400.000E-3	-53.621E-6	7.926E+0	20.000E+0	20.000E-3
-350.000E-3	-47.517E-6	8.402E+0	20.000E+0	20.000E-3
-300.000E-3	-41.354E-6	8.970E+0	20.000E+0	20.000E-3
-250.000E-3	-35.869E-6	9.649E+0	20.000E+0	20.000E-3
-200.000E-3	-30.534E-6	10.505E+0	20.000E+0	20.000E-3
-150.000E-3	-24.948E-6	11.574E+0	20.000E+0	20.000E-3
