TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	24/11/28
TIME	16:59:27
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	800.0000
LASTX	300.0000
NPOINTS	501
FIRSTY	0.30726
MAXY	0.97767
MINY	0.30457
XYDATA
800.0000	30.726
799.0000	30.504
798.0000	30.457
797.0000	30.489
796.0000	30.606
795.0000	30.697
794.0000	30.703
793.0000	30.731
792.0000	30.843
791.0000	30.764
790.0000	30.681
789.0000	30.649
788.0000	30.551
787.0000	30.625
786.0000	30.678
785.0000	30.642
784.0000	30.782
783.0000	30.661
782.0000	30.757
781.0000	30.695
780.0000	30.705
779.0000	30.651
778.0000	30.691
777.0000	30.815
776.0000	30.727
775.0000	30.731
774.0000	30.821
773.0000	30.913
772.0000	30.849
771.0000	30.875
770.0000	30.889
769.0000	30.896
768.0000	30.869
767.0000	30.757
766.0000	30.668
765.0000	30.692
764.0000	30.653
763.0000	30.781
762.0000	30.834
761.0000	30.87
760.0000	31.03
759.0000	31.048
758.0000	31.025
757.0000	31.092
756.0000	31.041
755.0000	31.108
754.0000	31.096
753.0000	31.103
752.0000	31.083
751.0000	31.175
750.0000	31.144
749.0000	31.27
748.0000	31.292
747.0000	31.403
746.0000	31.45
745.0000	31.457
744.0000	31.416
743.0000	31.53
742.0000	31.49
741.0000	31.425
740.0000	31.305
739.0000	31.201
738.0000	31.168
737.0000	31.299
736.0000	31.29
735.0000	31.308
734.0000	31.34
733.0000	31.265
732.0000	31.408
731.0000	31.416
730.0000	31.312
729.0000	31.347
728.0000	31.39
727.0000	31.541
726.0000	31.519
725.0000	31.47
724.0000	31.485
723.0000	31.56
722.0000	31.515
721.0000	31.497
720.0000	31.471
719.0000	31.434
718.0000	31.532
717.0000	31.578
716.0000	31.611
715.0000	31.712
714.0000	31.751
713.0000	31.764
712.0000	31.824
711.0000	31.818
710.0000	31.799
709.0000	31.889
708.0000	31.88
707.0000	31.91
706.0000	31.965
705.0000	31.954
704.0000	31.923
703.0000	31.88
702.0000	31.921
701.0000	31.774
700.0000	31.775
699.0000	31.801
698.0000	31.882
697.0000	31.863
696.0000	31.973
695.0000	32.036
694.0000	32.112
693.0000	32.145
692.0000	32.101
691.0000	32.124
690.0000	32.062
689.0000	32.117
688.0000	32.106
687.0000	32.163
686.0000	32.194
685.0000	32.173
684.0000	32.186
683.0000	32.188
682.0000	32.151
681.0000	32.152
680.0000	32.116
679.0000	32.21
678.0000	32.219
677.0000	32.261
676.0000	32.273
675.0000	32.32
674.0000	32.367
673.0000	32.368
672.0000	32.379
671.0000	32.401
670.0000	32.489
669.0000	32.554
668.0000	32.483
667.0000	32.476
666.0000	32.486
665.0000	32.619
664.0000	32.586
663.0000	32.534
662.0000	32.576
661.0000	32.639
660.0000	32.704
659.0000	32.702
658.0000	32.782
657.0000	32.841
656.0000	32.793
655.0000	32.844
654.0000	32.895
653.0000	32.86
652.0000	32.886
651.0000	32.851
650.0000	32.886
649.0000	32.877
648.0000	32.928
647.0000	32.939
646.0000	32.998
645.0000	33.067
644.0000	33.125
643.0000	33.158
642.0000	33.155
641.0000	33.112
640.0000	33.139
639.0000	33.166
638.0000	33.15
637.0000	33.224
636.0000	33.214
635.0000	33.226
634.0000	33.265
633.0000	33.29
632.0000	33.335
631.0000	33.294
630.0000	33.326
629.0000	33.344
628.0000	33.392
627.0000	33.461
626.0000	33.445
625.0000	33.483
624.0000	33.543
623.0000	33.56
622.0000	33.528
621.0000	33.565
620.0000	33.582
619.0000	33.584
618.0000	33.592
617.0000	33.605
616.0000	33.671
615.0000	33.725
614.0000	33.765
613.0000	33.801
612.0000	33.832
611.0000	33.835
610.0000	33.877
609.0000	33.852
608.0000	33.935
607.0000	33.973
606.0000	34.015
605.0000	34.085
604.0000	34.067
603.0000	34.161
602.0000	34.148
601.0000	34.194
600.0000	34.233
599.0000	34.241
598.0000	34.273
597.0000	34.281
596.0000	34.323
595.0000	34.353
594.0000	34.381
593.0000	34.431
592.0000	34.483
