===========================================
MEDIDA DE VI V3.2
===========================================

DÍA: 26/11/2024
HORA INICIO: 15:52:17
HORA FINAL: 16:04:14
USUARIO: 
REF.MUESTRA: 
OBSERVACIONES: 
-------------------------------------
CONDICIONES DE MEDIDA:
SELECCIÓN DE SMU VI: HP4154B
TIEMPO DE INTEGRACIÓN VI: IT1 - SHORT
Límite de corriente (A): 1.000000E-2
-------------------------------------
Nº Ciclos de Medida: 1
Cambio de  cada ciclo: IDA
-------------------------------------
TENSION(V)	CORRIENTE(A)	IMPEDANCIA(Ohm)	TIEMPO(seg)	LIMITE_I/V(0/1)

-2.00000E+0	-4.89950E-3	408.20492E+0	0.00000E+0	0.00000E+0
-1.99000E+0	-4.89540E-3	406.50407E+0	0.00000E+0	0.00000E+0
-1.98000E+0	-4.89500E-3	404.49438E+0	0.00000E+0	0.00000E+0
-1.97000E+0	-4.89310E-3	402.60775E+0	0.00000E+0	0.00000E+0
-1.96000E+0	-4.88900E-3	400.89998E+0	0.00000E+0	0.00000E+0
-1.95000E+0	-4.88810E-3	398.92801E+0	0.00000E+0	0.00000E+0
-1.94000E+0	-4.88400E-3	397.21540E+0	0.00000E+0	0.00000E+0
-1.93000E+0	-4.88210E-3	395.32169E+0	0.00000E+0	0.00000E+0
-1.92000E+0	-4.87900E-3	393.52326E+0	0.00000E+0	0.00000E+0
-1.91000E+0	-4.87450E-3	391.83506E+0	0.00000E+0	0.00000E+0
-1.90000E+0	-4.87400E-3	389.82355E+0	0.00000E+0	0.00000E+0
-1.89000E+0	-4.87070E-3	388.03457E+0	0.00000E+0	0.00000E+0
-1.88000E+0	-4.86750E-3	386.23523E+0	0.00000E+0	0.00000E+0
-1.87000E+0	-4.86400E-3	384.45724E+0	0.00000E+0	0.00000E+0
-1.86000E+0	-4.86250E-3	382.51928E+0	0.00000E+0	0.00000E+0
-1.85000E+0	-4.85940E-3	380.70544E+0	0.00000E+0	0.00000E+0
-1.84000E+0	-4.85560E-3	378.94390E+0	0.00000E+0	0.00000E+0
-1.83000E+0	-4.85400E-3	377.00865E+0	0.00000E+0	0.00000E+0
-1.82000E+0	-4.85110E-3	375.17264E+0	0.00000E+0	0.00000E+0
-1.81000E+0	-4.84900E-3	373.27284E+0	0.00000E+0	0.00000E+0
-1.80000E+0	-4.84560E-3	371.47103E+0	0.00000E+0	0.00000E+0
-1.79000E+0	-4.84350E-3	369.56746E+0	0.00000E+0	0.00000E+0
-1.78000E+0	-4.84110E-3	367.68503E+0	0.00000E+0	0.00000E+0
-1.77000E+0	-4.83750E-3	365.89147E+0	0.00000E+0	0.00000E+0
-1.76000E+0	-4.83700E-3	363.86190E+0	0.00000E+0	0.00000E+0
-1.75000E+0	-4.83300E-3	362.09394E+0	0.00000E+0	0.00000E+0
-1.74000E+0	-4.83110E-3	360.16642E+0	0.00000E+0	0.00000E+0
-1.73000E+0	-4.82750E-3	358.36354E+0	0.00000E+0	0.00000E+0
-1.72000E+0	-4.82650E-3	356.36590E+0	0.00000E+0	0.00000E+0
-1.71000E+0	-4.82300E-3	354.55111E+0	0.00000E+0	0.00000E+0
-1.70000E+0	-4.81920E-3	352.75564E+0	0.00000E+0	0.00000E+0
-1.69000E+0	-4.81920E-3	350.68061E+0	0.00000E+0	0.00000E+0
-1.68000E+0	-4.81410E-3	348.97489E+0	0.00000E+0	0.00000E+0
-1.67000E+0	-4.81340E-3	346.94810E+0	0.00000E+0	0.00000E+0
-1.66000E+0	-4.81010E-3	345.10717E+0	0.00000E+0	0.00000E+0
-1.65000E+0	-4.80840E-3	343.14949E+0	0.00000E+0	0.00000E+0
-1.64000E+0	-4.80600E-3	341.24012E+0	0.00000E+0	0.00000E+0
-1.63000E+0	-4.80200E-3	339.44190E+0	0.00000E+0	0.00000E+0
-1.62000E+0	-4.80250E-3	337.32431E+0	0.00000E+0	0.00000E+0
-1.61000E+0	-4.79870E-3	335.50753E+0	0.00000E+0	0.00000E+0
-1.60000E+0	-4.79600E-3	333.61134E+0	0.00000E+0	0.00000E+0
-1.59000E+0	-4.79360E-3	331.69226E+0	0.00000E+0	0.00000E+0
-1.58000E+0	-4.79200E-3	329.71619E+0	0.00000E+0	0.00000E+0
-1.57000E+0	-4.78740E-3	327.94419E+0	0.00000E+0	0.00000E+0
-1.56000E+0	-4.78700E-3	325.88260E+0	0.00000E+0	0.00000E+0
-1.55000E+0	-4.78510E-3	323.92218E+0	0.00000E+0	0.00000E+0
-1.54000E+0	-4.78100E-3	322.10835E+0	0.00000E+0	0.00000E+0
-1.53000E+0	-4.78000E-3	320.08368E+0	0.00000E+0	0.00000E+0
-1.52000E+0	-4.77650E-3	318.22464E+0	0.00000E+0	0.00000E+0
-1.51000E+0	-4.77650E-3	316.13106E+0	0.00000E+0	0.00000E+0
-1.50000E+0	-4.77240E-3	314.30727E+0	0.00000E+0	0.00000E+0
-1.49000E+0	-4.77190E-3	312.24460E+0	0.00000E+0	0.00000E+0
-1.48000E+0	-4.76810E-3	310.39617E+0	0.00000E+0	0.00000E+0
-1.47000E+0	-4.76460E-3	308.52537E+0	0.00000E+0	0.00000E+0
-1.46000E+0	-4.76410E-3	306.45872E+0	0.00000E+0	0.00000E+0
-1.45000E+0	-4.76150E-3	304.52588E+0	0.00000E+0	0.00000E+0
-1.44000E+0	-4.76050E-3	302.48923E+0	0.00000E+0	0.00000E+0
-1.43000E+0	-4.75640E-3	300.64755E+0	0.00000E+0	0.00000E+0
-1.42000E+0	-4.75600E-3	298.57023E+0	0.00000E+0	0.00000E+0
-1.41000E+0	-4.75260E-3	296.67971E+0	0.00000E+0	0.00000E+0
-1.40000E+0	-4.75100E-3	294.67481E+0	0.00000E+0	0.00000E+0
-1.39000E+0	-4.75050E-3	292.60078E+0	0.00000E+0	0.00000E+0
-1.38000E+0	-4.74600E-3	290.77118E+0	0.00000E+0	0.00000E+0
